question	answer
d d ồ n g	đ ồ n g
n ề u	l ề u
y h i ế t	t h i ế t
r ằ n b	r ằ n g
g ắ m	g ắ n
a n n s	a n n a
t i ớ i	g i ớ i
y h 0 ạ j	t h o ạ i
s h l w	s h o w
g e t t y	g e t t y
m ô	m ổ
t h n g	t h ắ n g
n a y	n à y
c â f m	c ầ m
q ạ j	m ạ i
t y ư ờ n g	t h ư ờ n g
t h ê	t h ể
r a m c a h	r a m c a t
h ữ n g	n h ữ n g
t ụ x	t ụ c
é m	k é m
v á t	b á t
z ậ y	v ậ y
c á n j	c á n h
a i r	a i r
t 4 w n q	t ă n g
n r h i ê m	n g h i ê m
o o t ô	ô t ô
v à l	v à i
đ n	đ ế n
t ư ở n g	t ư ở n g
g r e c o	g r e c o
s o b	s o n
p h ờ n g	p h ư ờ n g
d á c h	c á c h
h ơ i	h ợ i
n 4 n q	m a n g
đ é o	đ ã
c k i	c o i
k h ô n f	k h ô n g
c ò i	c ò i
g i a m	g i ả m
i n b o x	i n b o x
đ ọ	đ ọ
s ư ơ n t	s ư ơ n g
v j ê j t	v i ệ t
v c đ	v c đ
n a t i o n a l	n a t i o n a l
f à o	v à o
r 0	r o
y h a m	t h a m
t ô r n g	t ổ n g
k i ê m	k i ể m
v o o	v ô
n n 4 n	n h a n
k h ẩ j	k h ẩ u
b u f d a l o	b u f f a l o
ắ n	đ ắ n
t a s c	t á c
đ é o	đ á
b ệ n y	b ệ n h
p h a n	p h ả n
z p i a y e r	z p l a y e r
s n 0 v 4 n j 4	s l o v a n i a
q n 4 x y	g a l a x y
d ị n h	đ ị n h
ằ n g	b ằ n g
c ư	c ử
s m a r t p h n e	s m a r t p h o n e
e r i k s e n	e r i k s e n
r a n n e l i s	r a n n e l l s
x ỉ n	x ỉ n
s a n d e r s	s a n d e r s
y i ệ u	h i ệ u
q 3 0 r q 3 3 j c	g e o r g e e v i c
t j j	t h i
t i ê r u	t i ể u
t h é	t h é p
đ ồ j g	đ ồ n g
b ứ n g	b ứ n g
k 1 0	h 1 0
m i ệ t	b i ệ t
b ư ơ u	h ư ơ u
i ệ u	l i ệ u
v i ê t j e t	v i e t j e t
m ẩ u	m ẫ u
c m ữ	c h ữ
t h ơ g	t h ơ m
r j ề n	t i ề n
p h o	p h ó
n â y	n ấ y
b ấ p	b ấ p
v ậ y	v é
k j r y 4	k i r y a t
b ư ớ	b ư ớ c
k ê	k ể
m ẽ	m ẽ
đ n	đ i
t h 0 ả n q	t h o ả n g
q a	q a
k u u ệ n	h u y ệ n
v u	v ụ
v a c l i k	v a c l i k
o r	h o ặ c
g á	g á i
n n h	l ạ n h
y h u	t h u
m i n h h o a n g	m i n h h o a n g
f ự c	v ự c
t n á i	t h á i
t h u y ê t	t h u y ế t
đ j ề k	đ i ề u
v i e t n a m n e t	v i e t n a m n e t
p s h	p u s h
t r ư ơ f n g	t r ư ờ n g
n h i ề	n h i ề u
p h á c h	p h á c h
r o y o l e	r o y o l e
c 4 d	c a r d
n g h ỉ	n g h ỉ
p h o n g	p h ò n g
x ô	x ổ
k ơ q	h ơ n
g i ả m	g i ả m
s ử	s ử
b á	b á
r a i	r a i
j c	j c
s í p	s í p
d ư ỡ n b	d ư ỡ n g
h o j c	h ọ c
t ó i	g ó i
v o	v ô
n a y	n g a y
c ơ	c ơ
r e v e w	r e v e w
k e r r y	k e r r y
n a m	n ă m
n ộ t	m ộ t
v w j	v a i
b ó g g	b ó n g
s k n g	s u n g
j ế t	k ế t
g r ự c	t r ự c
v m r c	v m r c
r ê n	t r ê n
n i a	g i a
c h ư ở i	c h ử i
n m o ạ i	n g o ạ i
k h ô n g	l o
l i g h t n n g	l i g h t n i n g
s t 4 r h	s t a r t
a t h l e t i c	a t h l e t i c
c o m i c s	c o m i c s
s v	s v
n ú s	l ú c
c a n h	c a n h
p ô	p ô
k y u	k h u
t e ầ m	t r ầ m
m o d e	m o v e
t y í c h	t h í c h
c a a u	c â u
t e n n i s	t e n n i s
k i n h	k i n h
t h ê m	t h ê m
m i a o	g i a o
b g ư ờ i	n g ư ờ i
t h í c	t h í c h
b a n f	b a n g
e u d o w i n d o w	e u r o w i n d o w
h a	h ạ
p ả n	p h ả n
á p	á o
i h o ả n	k h o ả n
v h u ẩ n	c h u ẩ n
g ố c	g ố c
p a l a c	p a l a c e
b ả g	b ả n
p 4	p a
t ư ơ n g	t ư ợ n g
t j ệ c	t i ệ c
s a n x t e c h	s a n a t e c h
t ậ n	t ậ n
b ỏ g g	b ỏ n g
b ư c	b ư ớ c
đ a s	đ á
c á t	s á t
e n d g a m e	e n d g a m e
n g ọ c c	n g ọ c c
n g ặ t	n g ặ t
t h	t y
n è	n à y
t i ê j	t i ê n
t n ờ j	t h ờ i
n j	n à y
c u 4	c u a
f c c	f c c
k h o ă n	k h o ă n
d d ạ i	đ ạ i
l u ợ n g	l u ợ n g
d m	e m
n h ọ	n h ọ
v 0 j c 3	v o i c e
h o ể u	h i ể u
ứ b g	ứ n g
p h ô j	p h ố i
c h l s e a	c h e l s e a
n h i ệ m	n g h i ệ m
r u ợ u	r ư ợ u
t ặ c	t r ặ c
q j ả	g i ả i
f 1 1	f 1 1
m ụ	m ụ c
t r ô j m	t r ộ m
m ạ	m ạ i
o d y l o p h u s	o x y l o p h u s
t h	t h i
j l g	j p g
n h i ề i	n h i ề u
m j g	m ì n h
d a j h	d a n h
d à 0	v à o
c m í n h	c h í n h
n h ú c	n h ú c
b u	đ u
n a b y	n a b y
p h ậ m	p h ậ n
v ư ơ b g	v ư ơ n g
n í n	n í n
s a	s a
k j ể u	h i ể u
v ơ s j	v ớ i
s ố n n	s ố n g
s e e	s e e
k ê s	k ế
v y	v a y
n x	p x
r e c o m e n d	r e c o m e n d
t ậ n	t r ậ n
v d 8 9	v d 8 9
d ọ	d ọ a
c h ọ c	c h ọ c
n h	n h i ề u
u n g	d u n g
k h n ế n	k h i ế n
l ộ n t	l ộ n g
g i s	g i a
k ộ	b ộ
t h 4 n	t h a n
m e d j a	m e d i a
x â n	s â n
s ô s n g	s ố n g
l ê	l ệ
x u ồ n q	x u ồ n g
n ă	n ă m
q á	q u á
r ò	t r ò
l i s t	l i s t
q k y	q u y
i r a a	i r a q
n ă m	n ằ m
t ư r	t ử
s a c h	s á c h
s x n a t e c h	s a n a t e c h
c h ơ y	c h ơ i
k j ê n	k i ê n
f u y ê n	t u y ê n
k i a	k i a
t i ễ n	t i ễ n
k h ử	k h ử
b ă h g	b ă n g
q ẽ	s ẽ
3 v 3 n j n q	e v e n i n g
k u i ế n	k h i ế n
n e a l	n e a l
t á n	t r á n
f h ì m	c h ì m
h o à	h o à n
v â n g	v â n g
c ó	c ó
v ộ i	v ộ i
m 2	m 2
đ ộ h q	đ ộ n g
3 m 4 j	e m a i l
b h ữ n q	n h ữ n g
w t i	w t i
y ổ	t ổ
t h 4 j	t h a m
i n t e r n s t	i n t e r n e t
v ớ	v ớ i
l n g	l ư n g
n u c	l ụ c
c h ă n	c h ắ n
m 4 q	m a n g
u h ó	k h ó
k ề m	k ề m
t h i ế u	t h i ế u
đ á j g	đ á n g
n h a t	n h a t
t r 0 q d 3 r m 4	t r o g o d e r m a
đ 4 y	đ â y
t r k n q	t r o n g
t b a n g	t h a n g
k k n h	k i n h
d h ữ	c h ữ
i n d e a	i n d e x
b ạ n y	m ạ n h
g o a	g i a
c h u ỗ i	c h u ỗ i
đ ạ p	đ ạ p
r i ế t	g i ế t
r ở	t r ở
v j ệ t	b i ệ t
ủ j	ủ y
v â s n	v ấ n
q ă n q	t ă n g
b j n	b i n h
p h ô g g	p h ô n g
n g ủ	n g ủ
g d p	g d p
t 0 j	t ô i
s 4 h n	s a h l
n ạ n	b ạ n
s e l c a o	s e l e c a o
s 0 f j t 3 n	s o f i t e l
c h a n h e o i	c h a n y e o l
e a	r a
c ư ơ n g	c h ư ơ n g
z a r i f	z a r i f
f a g a n	f a g a n
h ă n g	n ă n g
k ế t	h ế t
b r e w e r	b r e w e r
w e l b e c k	w e l b e c k
h i n h	h ì n h
d h ú	c h ú
d a k	d a k
t h u a	t h u a
l i ệ k	l i ệ u
l ã n g	l ã n g
m u ộ n	m u ộ n
v o c	v o c
s ụ p	s ụ p
v ậ y	v ẻ
t ù n g	t ù n g
b á m	b á m
p h ư ờ n	p h ư ờ n g
t e ê n	t r ê n
c h ồ n n	c h ồ n g
c à n q	c à n g
n h q u	n h a u
m ơ r	m ở
a j	a n
j ù 4	m ù a
h h a h a h a h a	h a h a
e v s	e v s
t i s	t h i s
v j n m 4 r t	v i n m a r t
t u c	t ụ c
d ẩ n	c ẩ n
k ơ	h ơ n
g á c	t á c
t h è n	t h ằ n g
h k ạ t	h o ạ t
p i h a i	p i c h a i
j y	u y
h h e o	t h e o
b ữ a	n ữ a
d o q n h	d o a n h
t y 0 ạ j	t h o ạ i
g ì	g ì n
t h c s	t h c s
g ỉ	g ỉ
t r ạ h q	t r ạ n g
s c	s ứ c
t h j ế	t h u ế
r e u r e r s	r e u t e r s
c h í b h	c h í n h
k o e	k h o e
t ó d	t ó c
n à n h	n g à n h
p o m p f o	p o m p e o
f a d e b o o k	f a c e b o o k
p s g	p s g
r ô	r ô
c h ê n g	c h ê n h
a n t o i n e	a n t o i n e
r ộ t	r u ộ t
t h ứ	t h ứ c
d 4 4 n	d â n
j ắ n	m ắ n
đ ú q q	đ ú n g
d u a l	d u a l
v j n h	v i n h
n 0	l o
f ạ n h	c ạ n h
n i ê	n i ê
n h a i	n h a i
g o i	g ọ i
đ a s n g	đ á n g
c ạ n h	c ạ n h
t ổ n	t ổ n g
n g ợ p	n g ợ p
d ù m	g i ú p
ẫ n	d ẫ n
ề n	đ ề n
c z t c h	c a t c h
h ì n b	h ì n h
đ à	đ à o
m e n	m e n
1 2 t h	1 2 t h
t r a h	t r a n h
a y	h a y
g i z n	g i a n
n h u	p h u
d a i l y	d a i l y
s h k w	s h o w
k 4 n q	h a n g
k ạ j q	h ạ n g
q h j ê n	n g h i ê n
s a x o p h n e	s a x o p h o n e
n i n u	n i n h
t i ệ b	t i ệ m
b ă c	b ắ c
k ợ n	h ợ p
k h o z	k h o a
y ê s u	y ế u
c b	c b
t ă b g	t ă n g
n h ê	p h ê
a d d i n g	p a d d i n g
g h o ả i	t h o ả i
m ê m	m ề m
m ặ t	m ặ t
a g a i n	a g a i n
đ ỗ	đ ỗ
c ă n g	v ă n g
g ộ	b ộ
c j ú c	c h ú c
h ơ	h ơ n
n g o ặ t	n g o ặ t
c h	c h ỗ
x ũ n g	c ũ n g
ì n h	h ì n h
l ố c	l ố c
u h á c h	k h á c h
đ n h	đ ị n h
b g h i ê m	n g h i ê m
k ơ n	h ơ n
ố c	t ố c
s ị c h	d ị c h
t h o	t h e o
c ố j	c ố i
b a w n g	b ă n g
v i ệ t	b i ệ t
0 r d d r	o r d e r
g h u ê	t h u ê
x ụ n q	d ụ n g
x á t	s á t
c ự n g	d ự n g
h u m a n	h u m a n
s 3 r r 4 t u s	s e r r a t u s
w o n	w o n
t i a	t i a
h ù i	m ù i
h o à i	h o à i
r ê n	r ê n
m i n t	m i n t
s o r t	s p o r t
n â h	l â m
i h o ả n g	k h o ả n g
t h i j t	t h ị t
k ợ j	l ợ i
c o n t a i e r	c o n t a i n e r
đ p	đ ẹ p
v a f n	v à n
d ự t	g i ậ t
b 4 r	b a r
g i ế t	t i ế t
h t	h ế t
n 4 n q	n ă n g
f h ô	t h ô
d ứ u	c ứ u
k r 0 n q	t r o n g
ộ i	n ộ i
p h	p h
n h i u	n h i ề u
i h á c	k h á c
t r j y ề n	t r u y ề n
x m	c m
w h 4 q	w h a t
z ậ y	z ậ y
k ă m	t h ă m
c h ụ p	c h ụ p
l e n	l e n
đ o ả n	đ o ả n
f i ê n	v i ê n
r h e o	t h e o
b q o	b a o
g o o p r o	g o o p r o
a r t i c l e	a r t i c l e
c h 3	c h e
q y a y	q u a y
n i c k e l p d e o n	n i c k e l o d e o n
b u ô j	b u ổ i
t h á n t	t h á n g
d d ổ	đ ổ
c h í c h	c h í c h
p i n	l i ê n
o h ô n g	k h ô n g
m ậ n	b ậ n
n h ú r	n h ú t
p h ư ơ m g	p h ư ơ n g
t t ư ờ n g	t h ư ờ n g
k h 4	k h a i
n g ọ c	n g ọ c
s a u	s a u
a n g o l a	a n g o l a
a n n	a n n
v o j n g	v ọ n g
x a m	x á m
f i n	t i n
k j ệ m	k i ệ m
t d j ể n	t r i ể n
z u	s u
n h ặ t	n h ặ t
m ắ	m ắ c
l ư ơ j n g	l ư ợ n g
m ễ n	m i ễ n
d a y	d à y
h e t r a	t e t r a
n g i ề u	n h i ề u
f h a n h	t h a n h
d á n	đ á n
d u n q	d ụ n g
i m a g e	i m a g e
f ộ	b ộ
m i ề u	m i ề u
p h ứ s	p h ứ c
y ế n n h ấ t	y ế n n h ấ t
m à n q	m à n g
q ư ớ c	b ư ớ c
l ư ợ	l ư ợ c
t m í	t h í
n g h ê j	n g h ệ
j g ư ờ i	n g ư ờ i
c h â	c h â u
c h u j c	c h ụ c
g ị	b ị
e m o v e	r e m o v e
đ ô s n	đ ố n
c a o	c a i
k h ô n g	k
f a i	c a i
v i ệ c	v i ệ c
q u ầ g	q u ầ n
x a u	s a u
c g ỉ	c h ỉ
t r ồ i	t r ồ i
d à l	d à i
0 s	p o s
v i n a s h i	v i n a s h i n
n g k ạ i	n g o ạ i
k ế	k ế t
m ạ j g	m ạ n g
đ ê j	đ ê m
d d ả o	đ ả o
t r i ể g	t r i ể n
t j ề h	t i ề n
a d	a d s
m i c r o n	m i c r o n
h u n t	h u n t
v ị t	v ị t
l ó c	l ó c
v ừ z	v ừ a
q j ấ y	g i ấ y
c h ú n g	t o à n
h ọ p	h ọ p
ô n g	ô n g
n r ư ờ i	n g ư ờ i
t ắ t	t ắ t
d i b a	d i v a
g â h	g â y
j p t	i p t
đ ứ q	đ ứ n g
n q ậ p	n g ậ p
f e d	f r e d
j n d 0 n 3 s j 4	i n d o n e s i a
k h â r n	k h ẩ n
t o m a h a a k	t o m a h a w k
k u ệ p	h i ệ p
đ ờ	đ ờ
v y	v y
n a t o	n a t o
r ộ n b	r ộ n g
n u ữ n f	n h ữ n g
b a d c	b á c
l à o o o	n à o
đ ị n n	đ ị n h
d ư ỡ g	d ư ỡ n g
c ă n g	c ă n g
ô g g	ô n g
n ạ o	n ạ o
t n ế n	t i ế n
h 3 4	h 3 4
h ư ớ n t	h ư ớ n g
a n d y	a n d y
t ỵ	t ỵ
m 4 t 3	m a t e
q j ế t	b i ế t
s o l j d	s o l i d
c ả n j	c ả n h
k u ệ u	h i ệ u
k h o e	k h ỏ e
r a j v a c	r a j e v a c
n h â n	n h ậ n
b ờ	b ờ
đ ạ t	đ ạ t
d ạ t	d ạ t
i ế n	k i ế n
n y ờ	n h ờ
đ 0 r	đ ỏ
l ư ợ n g	l ư ợ n g
f a c e b o o k e r	f a c e b o o k e r
t h i ề n	t h i ề n
v ệ c	v ệ c
m à n m	m à n g
t r ờ l	t r ờ i
c a n	c ă n
h a n n z h	h a n n a h
n q ầ n	n g ầ n
j e t	j e t
x a m	c a m
t ê m	t ê n
h â n	t h â n
n h ằ h	n h ằ m
đ à n	đ à m
d ô n g	đ ô n g
c h ử	c h ử i
c ù h g	c ù n g
4 d s b y q 0 0 q n 3	a d s b y g o o g l e
c ũ q	c ũ n g
t h á k	t h á i
h o ạ c	h o ặ c
s ô n t	s ô n g
b ư ớ s	b ư ớ c
y 0 ặ c	h o ặ c
k 0 t	h o ạ t
t g ự c	t r ự c
q u 4 q d j 0 n 4	g u a r d i o l a
c a c h	c á c h
ấ m	ấ n
k h c	k h á c
e l e m n t a l s	e l e m e n t a l s
b l a c k p i n i	b l a c k p i n k
s h l i	s h i i
c h ạ c	c h ạ c
s u ố j	c u ố i
b ô n q	b ô n g
c u 4	c ủ a
t r ậ j	t r ậ n
t j 4 0	g i a o
c h j	c h i
t h ạ m	t h ạ m
r o s t e c	r o s t e c
m ề j	m ề m
đ h n	đ u n
k h j á n q	k h o á n g
m è o	m è o
q 4	m a
d á c	c á c
t r u j g c q	t r u n g c q
f 4 c 3	f a c e
n m a y	n g a y
n g u y ê x n	n g u y ễ n
n 4 0	n à o
k h 0 4 n	k h o ả n
v i ệ y	v i ệ t
n i	n a i
ỉ n h	t ỉ n h
d ự j g	d ự n g
c ử q	c ử a
t r ê u	t r ê u
f h ấ t	c h ấ t
x á	x á t
n h a c	n h ạ c
đ j	đ ạ i
k h u n g	k h u n g
b ả h g	b ả n g
n h i i	n h i i
n à b	l à m
n g n	n g à n
t ọ a	t ọ a
s á n n	s á n g
m j j h	m i n h
n h i e u	n h i e u
h 1 0	h 1 0
q 4	r a
f r 3 d	f r e d
p h ị c h	p h ị c h
k 0 á	h o á
b ơ i	b ở i
t h o a i	t h ô i
t h	t h ơ
đ ô n t	đ ô n g
đ ấ y	đ ấ y
k a l i f a	k a l i f a
s ú n	s ú n
v đ	v đ
i m e s s	i m e s s e n g e r
đ à j	đ à n
c j ắ c	c h ắ c
k h i ể b	k h i ể n
h t x	h t x
s h i m	c h i m
j 4 m r s	j a m e s
b a n h	b a n h
l ũ n g	l ũ n g
t ư ờ n g	t ư ờ n g
q u y ê n	q u y ê n
t ự u	t ự u
r h 4 y	t h a y
c ư a	c h ư a
n h 4 n q	n h a n g
r e x o m m e n d z p l a y e r	r e c o m m e n d z p l a y e r
s ắ n	s ắ n
h a x i	h ã i
b ă n	b ă n
d ơ	c ơ
b a o	b a o
p h á	p h á
m o s c o w	m o s c o w
t g ư ợ t	t r ư ợ t
o r g a n i c	o r g a n i c
r u ồ i	r u ồ i
h u y ệ n	c h u y ệ n
t y ể	t h ể
đ ù i	đ ù i
i h o a	k h o a
v t v	v t v
k h ô b g	k h ô n g
f u ô n	b u ô n
e o a n h	d o a n h
h ạ i	h ạ i
ư a	ư a
đ ố n g	đ ố n g
y r a	t r a
n g u y ệ n	n g u y ệ n
l ư n g	l ư ợ n g
t h ả n	t h ả n
k h c	k h ó c
r ậ t	t ậ t
p h n m	p h i m
q n ớ j	g i ớ i
o r a n g e	o r a n g e
p a n o r a m a s k y l i n e	p a n o r a m a s k y l i n e
m ẫ n	m ẫ n
m ú c	m ú c
f ố	b ố
q à y	n g à y
m 4 d r j d	m a d r i d
đ g	đ ư ờ n g
s a k	s a u
t r ô n q	t r ô n g
t h e i	t h e o
d ệ n	d i ệ n
o n g	ô n g
n g õ	n g õ
v r n	v e n
ó i	ó i
o a n	o a n
n g ỡ	n g ỡ
a l l i a n z	a l l i a n z
n ữ a	n ữ a
2 5 k	2 5 k
4 á	x á
l y ậ n	l u ậ n
m j s f j t	m i s f i t
t e a s e r	t e a s e r
d z	d a
t ủ y	t h ủ y
đ ẹ t	đ ẹ t
v ả i	v ả i
o b	o b
l a v r o b	l a v r o v
t r ư q	t r ư a
t u à n h	t h à n h
h o a	h ò a
f u ố j	c u ố i
f i a n	g i a n
a d e m o l a	a d e m o l a
m ờ i	m ờ i
t ầ n g	t ầ n g
y h a y	t h a y
a l l e n	a l l e n
t r w	t r a
m ụ	m ụ
n g b i ê n	n g h i ê n
a u y ế t	q u y ế t
t r j ê u	t r i ệ u
s a n g	s á n g
n ắ c	n h ắ c
l h ố	p h ố
h a	h a n
q u s n g	q u a n g
n h ữ n	n h ữ n g
m ì n u	m ì n h
t m ê m	t h ê m
n w ớ n g	n ư ớ n g
y h ị	t h ị
k ả j	h ả i
r ê n q	r i ê n g
k i ế n	k h i ế n
n ú t	h ú t
c o p a	c o p a
m i f n h	m ì n h
g ô i	n g ô i
k j o ả n	k h o ả n
a n t h o n y	a n t h o n y
n â m g	n â n g
n m ũ n g	n h ũ n g
k ư	t h ư
r ê u	r ê u
f o r d	f o r d
â m	t â m
t w i s t	t w i s t
g i ờ	h ỗ
c h ấ r	c h ấ t
f h ứ	t h ứ
n j ê n	n i ê n
s i n g	s u n g
f r u n q	t r u n g
s ố n h	s ố n g
c h ứ c	c h ứ c
p r	p r
t u y ệ n	t u y ệ n
l a t i n h	l a t i n h
v u z	v u a
p 4 u n	p a u l
n à y	n g à y
g i ú o	g i ú p
q ì n h	t ì n h
j j h 0 0 n	j i h o o n
k ã y	h ã y
b i á	g i á
n g h ĩ s	n g h ĩ a
l ô	l ộ
h p	h ợ p
c i ễ n	d i ễ n
ư ỡ n q	d ư ỡ n g
t h w ơ n g	t h ư ơ n g
t r ồ n	t r ồ n g
t r ư ở m g	t r ư ở n g
m a s y	m á y
b a g	b ằ n g
t u ô n g	t h ô n g
n g ư n m	n h ư n g
m ư s c	m ứ c
t i n g e	t o n g e
d d ì n h	đ ì n h
p h ư ơ j g	p h ư ơ n g
n i ế p	h i ế p
n ạ	h ạ
k h o ả n b	k h o ả n g
x p o t l i g h t	s p o t l i g h t
n b 4 y	n g a y
c n	c ò n
t r n g	t r a n g
t h ô n	t h ô n
t u l i p	t u l i p
4 n q w n	a n g e l
s k a t e f	s k a t e r
n à p	n à o
b ê h	b ê n
b t w	b t w
8 x	8 x
c a p t a i n	c a p t a i n
d d 0 à n	đ o à n
t r i y ề n	t r u y ề n
s 0 n h	s i n h
s p o n g e b o b	s p o n g e b o b
c a r a c a s	c a r a c a s
h i u	h i ệ u
s c a n	s c a n
k h a k	k h a i
n 4 m 3	n a m e
c 4 c	c á c
v e r t i g o	v e r t i g o
s ố n r	s ố n g
c ụ m	c ụ m
s ỉ n	s ỉ n
k ô j	h ộ i
e a n g	e a n g
n ắ n t	n ắ n g
t ắ	t ắ t
k á m	k h á m
c á	c á c
n ả n	b ả n
t q ư ở n q	t r ư ở n g
r ư	t ư
q u â h	q u â n
n i ờ	g i ờ
n ỏ n q	l ỏ n g
n h ư b g	n h ư n g
i t e m	i t e m
s á n	s á n g
r à g	r à n g
l â b	l â m
t t ế	t h ế
n v ô n	n g ô n
k ê h	k ê n h
j ó j	n ó i
n h e	n g h e
h ọ n g	h ọ n g
n 3 0 w j n	n e o w i n
i ễ n	d i ễ n
c ù n m	c ù n g
y e n	y ê n
t r ắ m g	t r ắ n g
h ì j h	h ì n h
r o a n h	d o a n h
c h ứ n y	c h ứ n g
c ứ n h	c ứ n g
s ẻ	s ẽ
n h u	n h u
g e t	g e t
l i l j	l i l y
g i p	g i ú p
r o r y	r o r y
v l a d i m i r	v l a d i m i r
n g ư ợ f	n g ư ợ c
t r n ệ u	t r i ệ u
g ở	m ở
y 4 3 u b 3	y a s u b e
n á y	m á y
c p t p p	c p t p p
n o t e 7	n o t e 7
t h ô	t h ô
q u ấ y	q u ấ y
n ả y	n ả y
k ẻ o	k ẻ o
b a n n e r	b a n n e r
h ụ c	h ụ c
t h x i	t h a i
k j ệ u	h i ệ u
y ư ở n g	h ư ở n g
n j ư n q	n h ư n g
q u e e t i o n	q u e s t i o n
đ n g	đ ó n g
u u y ế t	h u y ế t
x h í	c h í
đ â	đ â y
b à o	n à o
n h ơ	n h ớ
3 m 4 j n	e m a i l
r h ứ c	t h ứ c
y ọ a	h ọ a
t ệ	t ệ
t u g	t u y
à i	b à i
l ô s i	l ố i
k q	k g
i h a g e s	i m a g e s
t h á j	t h á i
0 ã 0	l ã o
c i g y	c i t y
k h a n h	k h a n h
l h p n	l h p n
t ạ o	t ạ o
h o ã n	h o ã n
c g u y ê n	c h u y ê n
g ọ	g ọ i
t h 4 m h	t h a n h
t h u m	t h u n
h l l c a t	h e l l c a t
t y	t y
q u y n h l i n h	q u y n h l i n h
n h j ê u	n h i ê u
s à n h	d à n h
s i m h	s i n h
y à n q	h à n g
k y ắ c	k h ắ c
o h ẩ m	p h ẩ m
b u ể u	b i ể u
t ố o	t ố i
h r ị	t r ị
q k ả	q u ả
c h ậ	c h ậ m
n à n	r ằ n g
v o i c e	v o i c e
l k n g	l o n g
k h ú s	k h ú c
q r 4 n q	t r a n g
b ạ c h	b ạ c h
p n a	p h a
s a n	c a n
n h a n g	n h a n g
l i ệ h	l i ệ t
i s t	í t
a p p	a p p
k h ấ u	k h ấ u
4 n t f 4 n	a n t i f a n
f h j 4	c h i a
s i n u	s i n h
v à j	v à i
n h ì b	n h ì n
p h a s o	p h á o
b a i	h a i
b á n	b á n
c u ộ c	c u ộ c
x o á	x o á
g ọ i	g ọ i
s 4 m u r 4 j	s a m u r a i
d h p	c h o
đ ả	đ ả o
n ư ợ h q	l ư ợ n g
x o n g	x o n g
l ấ p	l ấ p
ủ n g	ủ n g
m o m e n t	m o m e n t
k i ệ g	k i ệ n
k 4 s m d	h a s h d
f ẻ	r ẻ
f j n	t i n
q j ớ u	g i ớ i
j n t 3 n	i n t e l
n v à n h	n g à n h
f r ạ n q	t r ạ n g
m o t o r o l a	m o t o r o l a
n h ậ	n h ậ n
d ầ b	d ầ n
k h i ê s n	k h i ế n
f b	f a c e b o o k
v ớ k	v ớ i
b ắ g	b ắ t
7 u p	7 u p
c ờ	c h ờ
t u q ế n	t u y ế n
f h i	g h i
p h 3 s p	p h é p
b ằ m g	b ằ n g
đ j ế u	đ i ế u
n v h ị	n g h ị
n g h ê f	n g h ề
4 n d r 3 w s	a n d r e w s
n n ờ	n g ờ
k ạ m q	h ạ n g
r u y ề n	t r u y ề n
r ờ	t ờ
n ư ợ q	l ư ợ n g
đ â m	đ ậ m
h i ể u	h i ể u
l í	l í
d i ế t	d i ế t
t i ê	t i ê n
k t j	k h i
k k ệ	h u ệ
r t	r ấ t
l ă n	l ă n
c h ư x a	c h ữ a
c h j	c h í
c ụ s	c ụ c
t r y ề n	t r u y ề n
h à n y	h à n g
b ả	b ả o
t f ư ớ c	t r ư ớ c
x a a y	x â y
v i ê n	v i ệ n
j n c h	i n c h
d s h k	d s h k
t o n i	t o n i
v b j z	v b i z
n h p	n h ậ p
n g à g	n g à y
t i g	t i m
h i ê m	h i ế m
n g ứ a	n g ứ a
b i ế b	b i ế n
đ i ê u	đ i ề u
n h ư x n q	n h ữ n g
q ý	q u ý
r i à y	g i à y
q u ã n g	q u ã n g
n h â n	p h â n
đ a	đ a
h o l d n g	h o l d i n g
m ạ j h	m ạ n h
l h ỉ	k h ỉ
ô n v	ô n g
c ô h q	c ô n g
k h 4 s c	k h á c
t n ế p	t i ế p
g j i	g h i
d a y	đ â y
đ i ề m	đ i ề m
c h â n	c h â n
b a b y	b a b y
o l i v e i r a	o l i v e i r a
c h n	c h ô n
y r o n g	t r o n g
đ ắ j	đ ắ k
s m a r t p o n	s m a r t p h o n e
t r 0 b q	t r o n g
t t ư ơ n g	t r ư ơ n g
t a n g	t ả n g
c á v	c á c
g r ở	t r ở
t í n m	t í n h
t r i ệ i	t r i ệ u
c n h	c a n h
b r 0 w s 3 r	b r o w s e r
l ư ớ o	l ư ớ i
f ậ p	t ậ p
t ộ l	t ộ i
s c a n d i n a v i a n	s c a n d i n a v i a n
f h ư	t h ư
n j ậ t	n h ậ t
m a r a t h o n	m a r a t h o n
n ạ c	n h ạ c
n à n	n à n
c h a u	c h â u
p ó n g	p h ó n g
m w c h	m a c h
m u ộ	m u ộ n
k j ê j p	h i ệ p
n b ự a	n h ự a
c h u r	c h ủ
t d ư n g	t r ư n g
o ỉ	k ỉ
c â n	c ậ n
đ i ệ o	đ i ệ p
s ơ r	s ở
k 4 r 4 n k 3	k a r a o k e
r s e n i o r	r o s e n i o r
đ i ệ h	đ i ệ n
k h i e u	k h i e u
t h ư ờ n b	t h ư ờ n g
m q h j ệ m	n g h i ệ m
q j ậ t	g i ậ t
n s y	n a y
f h í c h	t h í c h
t ỉ n t	t ỉ n h
s ơ n	s ơ n
m 3 n 4 t 0 n j n	m e l a t o n i n
l â x n	l ẫ n
j h á c	k h á c
s t	s t
n h i m	n h i ệ m
t t ẻ	t h ẻ
t h u u ề n	t h u y ề n
đ ắ l	đ ắ k
